activity_date,course_item_type_category,course_item_type_desc,count
2016-12-12 03:00:00,,others,17
2016-12-13 03:00:00,notebook,notebook,3560
2016-12-13 03:00:00,lecture,lecture,6304
2016-12-13 03:00:00,quiz,exam,252
2016-12-13 03:00:00,supplement,supplement,487
2016-12-13 03:00:00,programming,graded programming,1872
2016-12-13 03:00:00,,others,20
2016-12-14 03:00:00,notebook,notebook,2788
2016-12-14 03:00:00,programming,graded programming,1996
2016-12-14 03:00:00,quiz,exam,244
2016-12-14 03:00:00,,others,11
2016-12-14 03:00:00,lecture,lecture,5392
2016-12-14 03:00:00,supplement,supplement,310
2016-12-15 03:00:00,lecture,lecture,5118
2016-12-15 03:00:00,supplement,supplement,381
2016-12-15 03:00:00,notebook,notebook,2640
2016-12-15 03:00:00,quiz,exam,188
2016-12-15 03:00:00,programming,graded programming,1908
2016-12-15 03:00:00,,others,21
2016-12-16 03:00:00,notebook,notebook,2948
2016-12-16 03:00:00,lecture,lecture,4715
2016-12-16 03:00:00,supplement,supplement,289
2016-12-16 03:00:00,programming,graded programming,1272
2016-12-16 03:00:00,quiz,exam,328
2016-12-16 03:00:00,,others,6
2016-12-17 03:00:00,supplement,supplement,281
2016-12-17 03:00:00,lecture,lecture,4290
2016-12-17 03:00:00,notebook,notebook,2428
2016-12-17 03:00:00,programming,graded programming,1284
2016-12-17 03:00:00,quiz,exam,244
2016-12-17 03:00:00,,others,9
2016-12-18 03:00:00,programming,graded programming,2392
2016-12-18 03:00:00,supplement,supplement,288
2016-12-18 03:00:00,,others,14
2016-12-18 03:00:00,quiz,exam,372
2016-12-18 03:00:00,lecture,lecture,4951
2016-12-18 03:00:00,notebook,notebook,2880
2016-12-19 03:00:00,programming,graded programming,2288
2016-12-19 03:00:00,supplement,supplement,376
2016-12-19 03:00:00,,others,12
2016-12-19 03:00:00,quiz,exam,340
2016-12-19 03:00:00,notebook,notebook,3284
2016-12-19 03:00:00,lecture,lecture,5211
2016-12-20 03:00:00,lecture,lecture,5257
2016-12-20 03:00:00,supplement,supplement,425
2016-12-20 03:00:00,notebook,notebook,3064
2016-12-20 03:00:00,quiz,exam,324
2016-12-20 03:00:00,programming,graded programming,1712
2016-12-21 03:00:00,quiz,exam,300
2016-12-21 03:00:00,supplement,supplement,344
2016-12-21 03:00:00,lecture,lecture,4960
2016-12-21 03:00:00,programming,graded programming,1500
2016-12-21 03:00:00,notebook,notebook,3028
2016-12-21 03:00:00,,others,14
2016-12-22 03:00:00,lecture,lecture,5654
2016-12-22 03:00:00,supplement,supplement,408
2016-12-22 03:00:00,notebook,notebook,3076
2016-12-22 03:00:00,programming,graded programming,1888
2016-12-22 03:00:00,quiz,exam,276
2016-12-22 03:00:00,,others,7
2016-12-23 03:00:00,programming,graded programming,1232
2016-12-23 03:00:00,supplement,supplement,315
2016-12-23 03:00:00,,others,14
2016-12-23 03:00:00,quiz,exam,180
2016-12-23 03:00:00,lecture,lecture,4956
2016-12-23 03:00:00,notebook,notebook,2400
2016-12-24 03:00:00,programming,graded programming,1092
2016-12-24 03:00:00,supplement,supplement,273
2016-12-24 03:00:00,,others,8
2016-12-24 03:00:00,quiz,exam,224
2016-12-24 03:00:00,lecture,lecture,3544
2016-12-24 03:00:00,notebook,notebook,1592
2016-12-25 03:00:00,notebook,notebook,1684
2016-12-25 03:00:00,supplement,supplement,192
2016-12-25 03:00:00,quiz,exam,252
2016-12-25 03:00:00,,others,13
2016-12-25 03:00:00,lecture,lecture,3481
2016-12-25 03:00:00,programming,graded programming,860
2016-12-26 03:00:00,notebook,notebook,2140
2016-12-26 03:00:00,quiz,exam,348
2016-12-26 03:00:00,lecture,lecture,3690
2016-12-26 03:00:00,supplement,supplement,334
2016-12-26 03:00:00,programming,graded programming,1228
2016-12-26 03:00:00,,others,7
2016-12-27 03:00:00,supplement,supplement,404
2016-12-27 03:00:00,notebook,notebook,2668
2016-12-27 03:00:00,programming,graded programming,1252
2016-12-27 03:00:00,lecture,lecture,5389
2016-12-27 03:00:00,,others,6
2016-12-27 03:00:00,quiz,exam,264
2016-12-28 03:00:00,lecture,lecture,4168
2016-12-28 03:00:00,supplement,supplement,269
2016-12-28 03:00:00,notebook,notebook,2316
2016-12-28 03:00:00,quiz,exam,304
2016-12-28 03:00:00,,others,27
2016-12-28 03:00:00,programming,graded programming,956
2016-12-29 03:00:00,notebook,notebook,2632
2016-12-29 03:00:00,supplement,supplement,293
2016-12-29 03:00:00,lecture,lecture,4187
2016-12-29 03:00:00,quiz,exam,144
2016-12-29 03:00:00,,others,17
2016-12-29 03:00:00,programming,graded programming,1192
2016-12-30 03:00:00,lecture,lecture,4397
2016-12-30 03:00:00,notebook,notebook,2368
2016-12-30 03:00:00,programming,graded programming,1480
2016-12-30 03:00:00,supplement,supplement,350
2016-12-30 03:00:00,,others,7
2016-12-30 03:00:00,quiz,exam,128
2016-12-31 03:00:00,supplement,supplement,207
2016-12-31 03:00:00,notebook,notebook,1900
2016-12-31 03:00:00,quiz,exam,156
2016-12-31 03:00:00,lecture,lecture,3377
2016-12-31 03:00:00,programming,graded programming,808
2016-12-31 03:00:00,,others,15
2017-01-01 03:00:00,notebook,notebook,1916
2017-01-01 03:00:00,,others,10
2017-01-01 03:00:00,supplement,supplement,166
2017-01-01 03:00:00,lecture,lecture,2678
2017-01-01 03:00:00,programming,graded programming,724
2017-01-01 03:00:00,quiz,exam,96
