Date,Open,High,Low,Close,AdjClose,Volume
4/18/08,265.875732,272.080383,260.689453,267.962158,267.962158,36708300
4/21/08,267.95224,269.541901,263.431641,267.15741,267.15741,14976000
4/22/08,267.048096,278.602966,267.043152,275.706787,275.706787,15980200
4/23/08,277.167297,277.84787,268.727203,271.479279,271.479279,9906900
4/24/08,273.86377,275.45343,268.265198,269.765442,269.765442,8323900
4/25/08,272.736115,274.713257,269.61145,270.272125,270.272125,8382900
4/28/08,271.17627,276.605957,267.758484,274.276093,274.276093,8069300
4/29/08,273.635254,279.879639,273.227905,277.430573,277.430573,8748400
4/30/08,279.288483,290.540314,277.430573,285.289459,285.289459,15908800
5/1/08,287.286469,295.542786,286.620819,294.623749,294.623749,13291400
5/2/08,297.311279,299.278473,287.77829,288.766846,288.766846,14088500
5/5/08,297.495087,297.564636,291.667969,295.527863,295.527863,12643600
5/6/08,293.590485,294.08725,289.616333,291.285461,291.285461,9318700
5/7/08,293.227844,297.808044,286.352539,287.629242,287.629242,13311900
5/8/08,291.205994,292.745972,287.584534,289.621307,289.621307,10312300
5/9/08,287.629242,290.609863,283.804138,284.747986,284.747986,9028000
5/12/08,285.517975,291.479218,282.616852,290.580048,290.580048,9791000
5/13/08,291.220886,292.075317,287.405701,289.616333,289.616333,10394100
5/14/08,291.350037,293.684875,285.766357,286.287964,286.287964,8808400
5/15/08,287.629242,289.591492,285.94519,288.622772,288.622772,8741700
5/16/08,288.836395,290.450897,287.291443,288.160797,288.160797,8603700
5/19/08,287.405701,292.537323,284.906952,286.894043,286.894043,11281900
5/20/08,285.458374,289.358002,284.603912,287.430542,287.430542,6670300
5/21/08,287.390808,288.826477,272.174774,273.217987,273.217987,13020200
5/22/08,274.19165,275.314331,268.379456,272.954681,272.954681,10218600
5/23/08,271.712769,274.713257,267.167328,270.550323,270.550323,8920500
5/27/08,270.719238,279.482239,270.167816,278.637726,278.637726,7781200
5/28/08,282.134979,283.898499,278.737091,282.284027,282.284027,8153400
5/29/08,285.537842,291.047028,284.747986,289.616333,289.616333,9752900
5/30/08,289.849792,293.053955,288.77182,291.007263,291.007263,6492300
6/2/08,289.36795,290.058441,283.789215,285.642181,285.642181,7396100
6/3/08,286.387329,288.37439,278.493652,281.817047,281.817047,8666500
6/4/08,280.838409,287.132477,280.450928,284.261169,284.261169,6770000
6/5/08,286.675446,292.120026,286.243256,291.255676,291.255676,7884300
6/6/08,288.001831,288.483704,281.66803,281.66803,281.66803,9530500
6/9/08,282.194611,283.158325,270.937805,277.132507,277.132507,10645200
6/10/08,273.004364,277.604462,271.623352,275.294464,275.294464,7362400
6/11/08,276.322784,276.869232,270.470856,270.83847,270.83847,7675300
6/12/08,272.606964,277.197113,271.673035,274.688416,274.688416,11054500
6/13/08,278.930817,285.989899,278.856323,283.908447,283.908447,12449100
6/16/08,281.419647,287.678925,281.419647,284.55426,284.55426,7131500
6/17/08,286.312805,287.167267,282.353577,282.890076,282.890076,6970800
6/18/08,280.431061,282.656586,277.773346,279.372955,279.372955,6806200
6/19/08,275.880676,280.06842,273.625336,278.289978,278.289978,11440000
6/20/08,276.690399,276.690399,270.495697,271.449493,271.449493,12043900
6/23/08,270.917938,274.787781,269.258728,270.843414,270.843414,7318900
6/24/08,270.808655,273.814117,265.821075,269.397827,269.397827,9405900
6/25/08,270.724213,277.097748,270.0784,273.719727,273.719727,8297900
6/26/08,270.292023,270.704315,262.423187,262.701385,262.701385,11392600
6/27/08,262.135071,263.287567,255.880737,262.328796,262.328796,10965700
6/30/08,264.514587,267.261719,259.839996,261.509125,261.509125,7579500
7/1/08,258.111237,266.625854,256.829559,265.637299,265.637299,9984200
7/2/08,266.521545,268.444031,261.330292,261.817139,261.817139,8500900
7/3/08,263.724731,267.872742,262.045654,266.764954,266.764954,4832100
7/7/08,269.397827,272.726166,266.069489,270.197632,270.197632,8565700
7/8/08,271.230896,275.801178,268.255249,275.473297,275.473297,9928900
7/9/08,273.600494,276.044586,268.617889,269.025238,269.025238,8362000
