State,time,population
MICHIGAN,11/24/1974,58
MICHIGAN,12/1/1974,39
MICHIGAN,12/8/1974,36
MICHIGAN,12/15/1974,32
MICHIGAN,12/22/1974,34
MICHIGAN,12/29/1974,30
MICHIGAN,1/5/1975,38
MICHIGAN,1/12/1975,71
MICHIGAN,1/19/1975,50
MICHIGAN,1/26/1975,48
MICHIGAN,2/2/1975,51
MICHIGAN,2/9/1975,55
MICHIGAN,2/16/1975,36
MICHIGAN,2/23/1975,21
MICHIGAN,3/2/1975,69
MICHIGAN,3/9/1975,49
MICHIGAN,3/16/1975,43
MICHIGAN,3/23/1975,25
MICHIGAN,3/30/1975,38
MICHIGAN,4/6/1975,23
MICHIGAN,4/13/1975,56
MICHIGAN,4/20/1975,30
MICHIGAN,4/27/1975,33
MICHIGAN,5/4/1975,55
MICHIGAN,5/11/1975,39
MICHIGAN,5/18/1975,51
MICHIGAN,5/25/1975,24
MICHIGAN,6/1/1975,34
MICHIGAN,6/8/1975,32
MICHIGAN,6/15/1975,25
MICHIGAN,6/22/1975,35
MICHIGAN,7/6/1975,34
MICHIGAN,7/13/1975,34
MICHIGAN,7/20/1975,54
MICHIGAN,7/27/1975,36
MICHIGAN,8/3/1975,45
MICHIGAN,8/10/1975,50
MICHIGAN,8/17/1975,36
MICHIGAN,8/24/1975,34
MICHIGAN,8/31/1975,29
MICHIGAN,9/7/1975,29
MICHIGAN,9/14/1975,56
MICHIGAN,9/21/1975,61
MICHIGAN,9/28/1975,30
MICHIGAN,10/5/1975,25
MICHIGAN,10/12/1975,43
MICHIGAN,10/19/1975,29
MICHIGAN,10/26/1975,41
MICHIGAN,11/2/1975,46
MICHIGAN,11/9/1975,33
MICHIGAN,11/16/1975,43
MICHIGAN,11/23/1975,31
MICHIGAN,11/30/1975,39
MICHIGAN,12/7/1975,27
MICHIGAN,12/14/1975,38
MICHIGAN,12/21/1975,34
MICHIGAN,1/4/1976,33
MICHIGAN,1/11/1976,28
MICHIGAN,1/18/1976,37
MICHIGAN,1/25/1976,35
MICHIGAN,2/1/1976,25
MICHIGAN,2/8/1976,40
MICHIGAN,2/15/1976,22
MICHIGAN,2/22/1976,36
MICHIGAN,2/29/1976,32
MICHIGAN,3/7/1976,44
MICHIGAN,3/14/1976,25
MICHIGAN,3/21/1976,30
MICHIGAN,3/28/1976,24
MICHIGAN,4/4/1976,32
MICHIGAN,4/11/1976,34
MICHIGAN,4/18/1976,31
MICHIGAN,4/25/1976,21
MICHIGAN,5/2/1976,28
MICHIGAN,5/9/1976,45
MICHIGAN,5/16/1976,25
MICHIGAN,5/23/1976,22
MICHIGAN,5/30/1976,26
MICHIGAN,6/6/1976,25
MICHIGAN,6/13/1976,41
MICHIGAN,6/20/1976,25
MICHIGAN,6/27/1976,29
MICHIGAN,7/4/1976,25
